Result hinge: 
80,34 0,78
85,39 0,373333333333
85,91 1,025
87,82 0,778333333333
87,42 0,555
86,01 0,733333333333
87,87 1,14833333333
86,52 0,758333333333
85,03 1,20166666667
85,48 0,57
87,06 0,445
82,80 1,565
85,68 0,893333333333
79,72 1,24666666667
86,56 1,25166666667

Result squared_hinge: 
84,07 1,39333333333
86,10 1,105
83,58 0,791666666667
86,28 0,366666666667
83,94 1,485
88,40 0,858333333333
88,00 0,335
86,74 1,26
87,71 0,731666666667
88,27 0,515
87,63 0,521666666667
82,17 0,868333333333
85,99 0,876666666667
86,25 0,838333333333
80,82 1,57666666667

