Result squared_hinge;Train;Test;Diff;
1;85.5116666667;85.49;0.0216666666667;
3;85.525;85.53;-0.005;
5;85.39;85.43;-0.04;
10;84.4683333333;84.48;-0.0116666666667;
15;83.6833333333;83.43;0.253333333333;
20;81.9933333333;82.24;-0.246666666667;
25;82.6216666667;82.72;-0.0983333333333;
30;80.71;80.79;-0.08;
40;81.765;81.85;-0.085;
50;76.2416666667;75.95;0.291666666667;
60;79.2783333333;79.34;-0.0616666666667;
70;80.905;81.16;-0.255;
80;78.8666666667;79.13;-0.263333333333;
90;80.6766666667;80.94;-0.263333333333;
100;79.2433333333;79.65;-0.406666666667;
150;80.35;80.48;-0.13;
200;78.0516666667;77.73;0.321666666667;
250;77.3383333333;77.15;0.188333333333;
300;78.095;78.26;-0.165;
350;76.18;76.18;0.0;
400;76.885;77.19;-0.305;
450;76.7016666667;77.4;-0.698333333333;
500;77.6516666667;78.53;-0.878333333333;
1000;76.3833333333;76.76;-0.376666666667;

Result hinge;Train;Test;Diff;
1;85.6133333333;85.32;0.293333333333;
3;85.595;85.3;0.295;
5;85.6033333333;85.33;0.273333333333;
10;85.4816666667;85.25;0.231666666667;
15;85.1583333333;85.04;0.118333333333;
20;84.78;84.44;0.34;
25;83.17;83.18;-0.01;
30;83.06;82.65;0.41;
40;82.3983333333;82.26;0.138333333333;
50;78.2833333333;78.19;0.0933333333333;
60;79.5816666667;79.88;-0.298333333333;
70;79.36;79.83;-0.47;
80;80.355;80.69;-0.335;
90;80.3216666667;80.34;-0.0183333333333;
100;76.3483333333;76.41;-0.0616666666667;
150;75.5116666667;76.08;-0.568333333333;
200;78.1983333333;78.07;0.128333333333;
250;73.3;73.19;0.11;
300;74.9333333333;75.31;-0.376666666667;
350;77.1016666667;77.67;-0.568333333333;
400;77.2333333333;77.62;-0.386666666667;
450;73.4533333333;74.42;-0.966666666667;
500;77.3366666667;77.47;-0.133333333333;
1000;74.4966666667;74.6;-0.103333333333;

