Result hinge;Train;Test;Diff;
0.0001;71.49;73.38;-1.89;
0.001;81.585;82.13;-0.545;
0.01;84.4583333333;84.45;0.00833333333333;
0.1;85.3483333333;85.18;0.168333333333;
0.5;85.5466666667;85.3;0.246666666667;
1;85.5833333333;85.37;0.213333333333;
1.5;85.6133333333;85.34;0.273333333333;
2;85.6216666667;85.34;0.281666666667;
2.5;85.61;85.27;0.34;
3;85.5933333333;85.34;0.253333333333;
3.5;85.675;85.37;0.305;
4;85.6766666667;85.3;0.376666666667;
4.5;85.58;85.27;0.31;
5;85.6483333333;85.33;0.318333333333;
6;85.685;85.34;0.345;
7;85.4666666667;85.17;0.296666666667;
8;85.6133333333;85.17;0.443333333333;
9;85.6;85.23;0.37;
10;85.3866666667;85.29;0.0966666666667;
15;85.0083333333;84.66;0.348333333333;

Result squared_hinge;Train;Test;Diff;
0.0001;79.95;81.02;-1.07;
0.001;83.935;84.28;-0.345;
0.01;85.1083333333;85.35;-0.241666666667;
0.1;85.4883333333;85.49;-0.00166666666667;
0.5;85.5066666667;85.49;0.0166666666667;
1;85.5283333333;85.48;0.0483333333333;
1.5;85.4866666667;85.42;0.0666666666667;
2;85.5566666667;85.48;0.0766666666667;
2.5;85.4916666667;85.57;-0.0783333333333;
3;85.3716666667;85.31;0.0616666666667;
3.5;85.4983333333;85.44;0.0583333333333;
4;85.4166666667;85.32;0.0966666666667;
4.5;85.48;85.51;-0.03;
5;85.4016666667;85.58;-0.178333333333;
6;85.1466666667;85.24;-0.0933333333333;
7;84.5883333333;84.74;-0.151666666667;
8;84.9283333333;85.16;-0.231666666667;
9;84.9283333333;84.76;0.168333333333;
10;84.2966666667;84.37;-0.0733333333333;
15;83.895;83.92;-0.025;

